ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿCrimeÿRateÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿCrimeÿRateÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÿCountyÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿIndexÿÿÿÿÿÿÿViolentÿÿÿÿPropertyÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿCountyÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿIndexÿÿÿÿÿÿÿViolentÿÿÿÿPropertyÿÿ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany,,,,,,,,,"3,740.3",,,,,,,,402.0,,,,,,"3,338.3",,,,,,,,,Onondaga,,,,,,,,,,,"2,893.1",,,,357.9,,,,,"2,535.3",,,,,,,
Allegany,,,,,,,,,"1,720.5",,,,,,,,183.4,,,,,,"1,537.2",,,,,,,,,Ontario,,,,,,,,,,,"1,897.9",,,,121.9,,,,,"1,776.0",,,,,,,
Bronx,,,,,,,,,"2,450.2",,,,,,,,869.6,,,,,,"1,580.6",,,,,,,,,Orange,,,,,,,,,,,"2,384.5",,,,259.5,,,,,"2,125.0",,,,,,,
Broome,,,,,,,,,"3,233.6",,,,,,,,260.0,,,,,,"2,973.5",,,,,,,,,Orleans,,,,,,,,,,,"2,564.2",,,,190.9,,,,,"2,373.3",,,,,,,
Cattaraugus,,,,,,,,,"2,614.8",,,,,,,,236.3,,,,,,"2,378.5",,,,,,,,,Oswego,,,,,,,,,,,"2,741.3",,,,157.6,,,,,"2,583.7",,,,,,,
Cayuga,,,,,,,,,"2,250.0",,,,,,,,201.5,,,,,,"2,048.5",,,,,,,,,Otsego,,,,,,,,,,,"1,880.0",,,,208.5,,,,,"1,671.5",,,,,,,
Chautauqua,,,,,,,,,"2,939.6",,,,,,,,237.4,,,,,,"2,702.2",,,,,,,,,Putnam,,,,,,,,,,,947.5,,,,69.1,,,,,878.4,,,,,,,
Chemung,,,,,,,,,"2,388.8",,,,,,,,233.1,,,,,,"2,155.7",,,,,,,,,Queens,,,,,,,,,,,"1,693.7",,,,424.4,,,,,"1,269.3",,,,,,,
Chenango,,,,,,,,,"1,952.9",,,,,,,,108.0,,,,,,"1,844.8",,,,,,,,,Rensselaer,,,,,,,,,,,"3,135.2",,,,354.3,,,,,"2,780.9",,,,,,,
Clinton,,,,,,,,,"2,261.5",,,,,,,,107.6,,,,,,"2,154.0",,,,,,,,,Richmond,,,,,,,,,,,"1,396.0",,,,276.6,,,,,"1,119.4",,,,,,,
Columbia,,,,,,,,,"1,865.6",,,,,,,,144.8,,,,,,"1,720.8",,,,,,,,,Rockland,,,,,,,,,,,"1,596.8",,,,154.3,,,,,"1,442.5",,,,,,,
Cortland,,,,,,,,,"2,248.9",,,,,,,,137.1,,,,,,"2,111.8",,,,,,,,,St Lawrence,,,,,,,,,,,"2,219.4",,,,127.5,,,,,"2,091.9",,,,,,,
Delaware,,,,,,,,,"1,734.2",,,,,,,,138.6,,,,,,"1,595.6",,,,,,,,,Saratoga,,,,,,,,,,,"1,474.1",,,,68.8,,,,,"1,405.3",,,,,,,
Dutchess,,,,,,,,,"1,949.6",,,,,,,,243.9,,,,,,"1,705.8",,,,,,,,,Schenectady,,,,,,,,,,,"3,984.5",,,,494.6,,,,,"3,489.9",,,,,,,
Erie,,,,,,,,,"3,637.5",,,,,,,,505.8,,,,,,"3,131.6",,,,,,,,,Schoharie,,,,,,,,,,,"1,498.3",,,,54.5,,,,,"1,443.7",,,,,,,
Essex,,,,,,,,,"1,454.2",,,,,,,,102.9,,,,,,"1,351.4",,,,,,,,,Schuyler,,,,,,,,,,,"1,067.5",,,,54.2,,,,,"1,013.3",,,,,,,
Franklin,,,,,,,,,"1,897.9",,,,,,,,114.8,,,,,,"1,783.1",,,,,,,,,Seneca,,,,,,,,,,,"1,944.3",,,,154.1,,,,,"1,790.2",,,,,,,
